t # 0
v 0 2
v 1 2
v 2 2
v 3 3
v 4 2
v 5 4
v 6 2
v 7 3
v 8 3
v 9 3
v 10 2
v 11 2
v 12 2
v 13 2
v 14 2
v 15 2
v 16 2
v 17 2
v 18 2
e 0 1 2
e 0 2 2
e 2 3 3
e 2 4 2
e 3 5 2
e 4 6 2
e 5 7 2
e 5 8 2
e 5 9 2
e 6 10 2
e 6 9 3
e 7 11 3
e 8 12 3
e 10 13 2
e 11 14 2
e 11 15 2
e 12 16 2
e 12 15 2
e 14 17 2
e 16 18 2

t # 1
v 0 2
v 1 2
v 2 6
v 3 6
v 4 3
v 5 3
v 6 3
v 7 3
v 8 3
v 9 3
e 0 1 2
e 0 2 2
e 1 3 2
e 2 4 3
e 2 5 3
e 2 6 2
e 3 7 3
e 3 8 3
e 3 9 2

t # 2
v 0 6
v 1 6
v 2 2
v 3 2
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 2
v 14 3
v 15 3
v 16 2
v 17 3
v 18 3
v 19 2
e 0 1 2
e 0 2 2
e 1 3 2
e 2 4 5
e 2 5 5
e 3 6 5
e 3 7 5
e 4 8 2
e 4 9 5
e 5 10 5
e 6 11 2
e 6 12 5
e 7 13 5
e 8 14 3
e 8 15 2
e 9 16 5
e 10 16 5
e 11 17 3
e 11 18 2
e 12 19 5
e 13 19 5

t # 4
v 0 7
v 1 3
v 2 5
v 3 3
v 4 2
v 5 7
v 6 2
v 7 2
v 8 2
v 9 2
v 10 5
v 11 3
v 12 2
v 13 2
v 14 2
v 15 2
v 16 2
v 17 2
v 18 2
v 19 2
v 20 2
v 21 2
v 22 2
v 23 2
v 24 2
v 25 2
v 26 2
v 27 2
v 28 2
v 29 2
v 30 5
v 31 2
v 32 3
v 33 3
v 34 5
v 35 3
v 36 3
e 0 1 2
e 0 2 2
e 0 3 3
e 0 4 2
e 1 5 2
e 2 6 2
e 2 7 2
e 4 8 5
e 4 9 5
e 5 10 2
e 5 11 3
e 5 12 2
e 6 13 2
e 6 14 2
e 7 15 2
e 7 16 2
e 8 17 5
e 9 18 5
e 10 19 2
e 10 20 2
e 12 21 5
e 12 22 5
e 17 23 5
e 18 23 5
e 19 24 2
e 19 25 2
e 20 26 2
e 20 27 2
e 21 28 5
e 22 29 5
e 23 30 2
e 28 31 5
e 29 31 5
e 30 32 3
e 30 33 2
e 31 34 2
e 34 35 3
e 34 36 2

t # 6
v 0 7
v 1 5
v 2 5
v 3 5
v 4 6
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 2
v 14 2
v 15 2
v 16 2
v 17 2
v 18 2
v 19 2
v 20 2
v 21 2
v 22 2
e 0 1 2
e 0 2 2
e 0 3 2
e 0 4 3
e 1 5 2
e 2 6 2
e 3 7 2
e 5 8 2
e 5 9 2
e 6 10 2
e 6 11 2
e 7 12 2
e 7 13 2
e 8 14 2
e 9 15 2
e 10 16 2
e 11 17 2
e 12 18 2
e 13 19 2
e 14 20 2
e 15 20 2
e 16 21 2
e 17 21 2
e 18 22 2
e 19 22 2

t # 7
v 0 6
v 1 2
v 2 5
v 3 6
v 4 2
v 5 2
e 0 1 3
e 1 2 2
e 1 3 2
e 2 4 2
e 3 5 2
e 4 5 2

t # 8
v 0 5
v 1 2
v 2 2
v 3 2
v 4 6
v 5 6
v 6 9
v 7 6
v 8 6
v 9 2
v 10 5
v 11 2
v 12 2
e 0 1 2
e 0 2 2
e 0 3 2
e 3 4 2
e 3 5 3
e 4 6 2
e 5 6 2
e 6 7 2
e 6 8 2
e 7 9 2
e 8 9 3
e 9 10 2
e 10 11 2
e 10 12 2

t # 9
v 0 5
v 1 2
v 2 2
v 3 5
v 4 2
v 5 5
v 6 2
v 7 5
v 8 5
v 9 2
v 10 5
v 11 2
v 12 2
v 13 5
v 14 2
v 15 2
v 16 2
v 17 2
v 18 2
v 19 2
v 20 2
v 21 2
v 22 5
v 23 3
v 24 2
v 25 2
v 26 2
v 27 2
v 28 3
v 29 3
v 30 2
v 31 3
v 32 3
e 0 1 2
e 1 2 5
e 1 3 5
e 2 4 5
e 2 5 5
e 3 6 5
e 4 7 5
e 4 8 5
e 5 9 5
e 6 10 2
e 6 8 5
e 7 11 5
e 9 12 2
e 9 11 5
e 12 13 2
e 13 14 2
e 13 15 2
e 15 16 5
e 15 17 5
e 16 18 5
e 17 19 5
e 18 20 5
e 19 20 5
e 20 21 2
e 21 22 2
e 21 23 3
e 22 24 2
e 24 25 2
e 24 26 2
e 25 27 2
e 26 28 3
e 26 29 2
e 27 30 2
e 30 31 3
e 30 32 2

t # 10
v 0 6
v 1 2
v 2 2
v 3 5
v 4 2
v 5 5
v 6 2
v 7 5
v 8 5
v 9 2
v 10 5
e 0 1 2
e 1 2 5
e 1 3 5
e 2 4 5
e 2 5 5
e 3 6 5
e 4 7 5
e 4 8 5
e 5 9 5
e 6 10 2
e 6 7 5
e 8 9 5

t # 11
v 0 6
v 1 2
v 2 2
v 3 5
v 4 2
v 5 5
v 6 2
v 7 5
v 8 5
v 9 2
e 0 1 2
e 1 2 5
e 1 3 5
e 2 4 5
e 2 5 5
e 3 6 5
e 4 7 5
e 4 8 5
e 5 9 5
e 6 7 5
e 8 9 5

t # 12
v 0 3
v 1 2
v 2 2
v 3 2
v 4 2
v 5 2
v 6 2
v 7 3
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 2
v 14 3
v 15 2
v 16 2
v 17 2
v 18 2
v 19 2
v 20 5
v 21 2
v 22 2
v 23 2
v 24 3
v 25 3
v 26 2
v 27 3
v 28 2
e 0 1 2
e 0 2 2
e 2 3 5
e 2 4 5
e 3 5 5
e 3 6 5
e 4 7 2
e 4 8 5
e 5 9 5
e 5 10 5
e 6 11 5
e 6 12 2
e 7 13 2
e 8 14 2
e 8 11 5
e 9 15 2
e 9 16 5
e 10 17 5
e 12 18 2
e 14 19 2
e 15 20 2
e 15 18 2
e 16 21 5
e 17 22 5
e 20 23 2
e 21 24 3
e 21 22 5
e 22 25 2
e 23 26 2
e 23 27 3
e 25 28 2

t # 13
v 0 3
v 1 2
v 2 10
v 3 2
v 4 2
v 5 2
v 6 3
v 7 3
v 8 2
v 9 2
v 10 2
v 11 3
v 12 2
v 13 2
v 14 2
v 15 2
v 16 2
v 17 10
v 18 3
v 19 3
v 20 2
v 21 2
v 22 2
v 23 2
v 24 2
v 25 2
e 0 1 2
e 0 2 2
e 1 3 2
e 1 4 2
e 1 5 2
e 2 6 2
e 2 7 2
e 3 8 2
e 6 9 2
e 7 10 2
e 8 11 2
e 8 12 2
e 9 13 2
e 9 14 2
e 9 15 2
e 10 16 2
e 10 15 2
e 11 17 2
e 17 18 2
e 17 19 2
e 18 20 2
e 19 21 2
e 20 22 2
e 20 23 2
e 20 24 2
e 21 25 2
e 21 24 2

t # 14
v 0 5
v 1 2
v 2 2
v 3 2
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 6
v 10 6
v 11 2
v 12 2
v 13 2
v 14 2
v 15 2
v 16 2
v 17 5
v 18 2
v 19 2
e 0 1 2
e 0 2 2
e 0 3 2
e 3 4 5
e 3 5 5
e 4 6 5
e 5 7 5
e 6 8 5
e 7 8 5
e 8 9 2
e 9 10 2
e 10 11 2
e 11 12 5
e 11 13 5
e 12 14 5
e 13 15 5
e 14 16 5
e 15 16 5
e 16 17 2
e 17 18 2
e 17 19 2

t # 15
v 0 6
v 1 6
v 2 2
v 3 2
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 2
v 14 2
v 15 2
e 0 1 2
e 0 2 2
